POINT(47.3731574 8.5201231),1510.0
POINT(47.3686581 8.4982209),1866.0
POINT(47.4046978 8.4856495),1700.0
POINT(47.4169146 8.5378504),3030.0
POINT(47.3759568 8.5161907),1700.0
POINT(47.3585266 8.5533956),4560.0
POINT(47.4095925 8.544419),2040.0
POINT(47.4160545 8.5439503),1970.0
POINT(47.392607 8.5311556),3035.0
POINT(47.3986745 8.5235947),3180.0
POINT(47.352049 8.5595197),2105.0
POINT(47.3547293 8.5581152),3070.0
POINT(47.4019041 8.5002394),155.0
POINT(47.4199884 8.5102828),1610.0
POINT(47.3799585 8.5436502),2090.0
POINT(47.4067276 8.5483906),1760.0
POINT(47.4231198 8.5527994),1810.0
POINT(47.3415617 8.5300572),2850.0
POINT(47.3544891 8.5972228),2515.0
POINT(47.4247091 8.5535659),1710.0
POINT(47.409157 8.5334674),2200.0
POINT(47.4133318 8.4808102),1942.0
POINT(47.406613 8.5714646),1250.0
POINT(47.4228723 8.5534268),2090.0
POINT(47.3748412 8.5447967),2825.0
POINT(47.3675229 8.5601361),1800.0
POINT(47.3804778 8.5502062),4200.0
POINT(47.3839087 8.5491092),1850.0
POINT(47.3793183 8.5317958),5695.0
POINT(47.4056418 8.5651124),2200.0
POINT(47.3654238 8.5495117),6350.0
POINT(47.4028737 8.4933642),2400.0
POINT(47.4131621 8.5313344),2850.0
POINT(47.4004869 8.5380961),3170.0
POINT(47.3714423 8.5289774),880.0
POINT(47.3714423 8.5289774),950.0
POINT(47.3741484 8.4967683),2490.0
POINT(47.4082865 8.547413),2300.0
POINT(47.3659398 8.530812),4900.0
POINT(47.3615417 8.5637583),820.0
POINT(47.3565381 8.5732883),2882.0
POINT(47.4308989 8.5390554),1540.0
POINT(47.409103 8.5578979),1750.0
POINT(47.3840215 8.5563725),2950.0
POINT(47.3851174 8.5527982),6400.0
POINT(47.3708747 8.5550031),1790.0
POINT(47.3867355 8.4880973),900.0
POINT(47.4089212 8.5468436),2220.0
POINT(47.4102669 8.5378474),1755.0
POINT(47.3638092 8.5339901),4300.0
POINT(47.3638092 8.5339901),2730.0
POINT(47.3793183 8.5317958),360.0
POINT(47.3698299 8.5454794),3485.0
POINT(47.3826775 8.557674),6200.0
POINT(47.4110656 8.5466014),2380.0
POINT(47.3402548 8.5381512),5700.0
POINT(47.3733829 8.523669),2990.0
POINT(47.3861655 8.5438799),3730.0
POINT(47.4096645 8.5461295),2460.0
POINT(47.3656219 8.5335624),3800.0
POINT(47.3902181 8.4858685),1200.0
POINT(47.3765208 8.5343112),3265.0
POINT(47.37827 8.4837134),2300.0
POINT(47.4110656 8.5466014),4180.0
POINT(47.4141815 8.5582829),2820.0
POINT(47.3925398 8.5313358),1900.0
POINT(47.3636317 8.5316962),4850.0
POINT(47.4096981 8.5449622),2260.0
POINT(47.3804018 8.5530175),150.0
POINT(47.4091044 8.5577521),1980.0
POINT(47.3803767 8.4942023),1000.0
POINT(47.3885567 8.5496648),5540.0
POINT(47.3581389 8.5901503),2033.0
POINT(47.3605809 8.5682907),3594.0
POINT(47.3561109 8.6017528),2700.0
POINT(47.4057257 8.5682659),2395.0
POINT(47.3808844 8.5451963),4050.0
POINT(47.3808021 8.5452666),3950.0
POINT(47.3554044 8.5806108),3704.0
POINT(47.3559235 8.5720893),3890.0
POINT(47.3593004 8.5556742),5950.0
POINT(47.3901451 8.4741969),4500.0
POINT(47.4040883 8.5504664),1552.0
POINT(47.4052741 8.486575),100.0
POINT(47.3974635 8.5021818),1650.0
POINT(46.3953592 6.929654),110.0
POINT(46.5105985 6.5591856),1090.0
POINT(46.525654 6.6062118),4500.0
POINT(47.242203 8.5307507),80.0
POINT(47.4172904 8.4182298),565.0
POINT(46.3953592 6.929654),110.0
POINT(46.5105985 6.5591856),1090.0
POINT(46.525654 6.6062118),4500.0
POINT(47.242203 8.5307507),80.0
POINT(47.4172904 8.4182298),565.0
POINT(47.0470098 9.4200767),2500.0
POINT(47.5658311 7.6025415),4551.0
POINT(46.4721263 6.3341204),2700.0
POINT(46.3527805 6.9320808),120.0
POINT(47.459279 9.3953043),1455.0
POINT(46.7899131 7.1171978),1100.0
POINT(47.12609 8.74518),2200.0
POINT(47.4162905 8.6224153),120.0
POINT(47.4513749 8.5807153),2700.0
POINT(47.3544764 8.5265095),2267.0
POINT(47.3544764 8.5265095),2267.0
POINT(46.7123838 6.386238),1000.0
